BIDGBPUSD;BIDUSDJPY;ASKGBPJPY
1.2494;101.85;127.315
1.2496;101.85;127.328
1.2495;101.85;127.324
1.2496;101.83;127.305
1.2496;101.85;127.333
1.2496;101.86;127.342
1.2496;101.85;127.334
1.2496;101.86;127.347
1.2496;101.86;127.347
1.2495;101.86;127.329
1.2493;101.86;127.317
1.2495;101.87;127.331
1.2497;101.86;127.346
1.2497;101.86;127.347
1.2497;101.88;127.373
1.2497;101.88;127.377
1.2498;101.89;127.383
1.2497;101.89;127.384
1.2498;101.89;127.385
1.2498;101.89;127.389
1.2497;101.9;127.398
1.2497;101.9;127.396
1.2498;101.9;127.399
1.2497;101.89;127.395
1.2497;101.9;127.397
1.2497;101.9;127.403
1.2497;101.89;127.403
1.2497;101.9;127.403
1.2497;101.9;127.409
1.2497;101.9;127.414
1.2497;101.89;127.405
1.2497;101.9;127.412
1.2496;101.9;127.397
1.2496;101.92;127.419
1.2496;101.92;127.413
1.2496;101.95;127.462
1.2497;101.93;127.456
1.2498;101.9;127.424
1.2498;101.94;127.46
1.2498;101.95;127.476
1.2497;101.96;127.477
1.2496;101.97;127.488
1.2496;101.98;127.489
1.2496;101.97;127.487
1.2496;101.97;127.487
1.2496;101.97;127.485
1.2496;101.98;127.491
1.2496;101.98;127.484
1.2496;101.98;127.484
1.2496;101.98;127.484
1.2496;101.98;127.492
1.2496;101.98;127.492
1.2496;101.98;127.494
1.2498;101.99;127.529
1.2498;101.99;127.522
1.2498;101.99;127.527
1.2498;101.99;127.525
1.2499;101.98;127.518
1.2499;101.98;127.516
1.2499;101.98;127.52
1.2499;101.98;127.522
1.2498;101.98;127.515
1.2498;101.97;127.503
1.2498;101.96;127.497
1.2498;101.96;127.498
1.2498;101.96;127.492
1.2498;101.96;127.493
1.2498;101.96;127.493
1.2498;101.94;127.471
1.2498;101.93;127.457
1.2498;101.93;127.451
1.2498;101.93;127.452
1.2498;101.93;127.452
1.2498;101.94;127.462
1.2498;101.91;127.439
1.2498;101.92;127.441
1.2497;101.94;127.465
1.2497;101.94;127.467
1.2497;101.94;127.467
1.2497;101.94;127.467
1.2497;101.94;127.469
1.2497;101.95;127.473
1.2497;101.96;127.476
1.2496;101.96;127.477
1.2496;101.94;127.458
1.2496;101.95;127.46
1.2496;101.95;127.47
1.2496;101.94;127.456
1.2496;101.94;127.453
1.2497;101.94;127.456
1.2499;101.93;127.469
1.2499;101.93;127.465
1.2499;101.92;127.46
1.2499;101.92;127.46
1.25;101.93;127.471
1.25;101.92;127.46
1.25;101.92;127.46
1.25;101.92;127.461
1.25;101.92;127.461
1.25;101.91;127.456
1.25;101.91;127.449
1.25;101.9;127.447
1.25;101.9;127.447
1.25;101.9;127.441
1.25;101.9;127.438
1.25;101.9;127.446
1.25;101.91;127.452
1.2501;101.9;127.444
1.2501;101.9;127.438
1.2501;101.9;127.443
1.25;101.9;127.447
1.25;101.89;127.429
1.25;101.89;127.43
1.25;101.88;127.42
1.25;101.88;127.412
1.25;101.89;127.425
1.25;101.88;127.417
1.2499;101.88;127.424
1.2499;101.87;127.414
1.2499;101.87;127.409
1.2499;101.87;127.409
1.2499;101.87;127.408
1.2499;101.87;127.405
1.2499;101.87;127.398
1.2499;101.85;127.382
1.2499;101.83;127.362
1.2499;101.83;127.357
1.2499;101.83;127.358
1.2499;101.84;127.359
1.2499;101.85;127.381
1.2499;101.86;127.387
1.2498;101.86;127.364
1.2498;101.85;127.358
1.2498;101.85;127.351
1.2498;101.86;127.367
